full_size,compressed,compression_t,decompression_t,res_type,sample_id,tissue,ratio
3638803665,420430469,22.03,16.06,bus,ERS3861840,liver,8.654947567560809
3629613809,450093713,20.1,16.11,bus,GSM3723359,bladder,8.064129100599102
3614560753,426606081,18.4,12.85,bus,ERS3861801,skin,8.472829886829485
3568886993,418645333,21.47,12.2,bus,ERS3861847,liver,8.524846001328767
3551645073,414502817,21.29,14.13,bus,GSM4769386,lung,8.56844616571086
3541157649,465834973,27.98,20.22,bus,GSM4769388,lung,7.60174279357939
3536736977,438083925,22.81,12.22,bus,GSM3439922,lung,8.073195055034262
3512355345,424611933,21.61,15.71,bus,GSM3735993,prostate,8.271918596786115
3506543857,415227805,20.11,13.54,bus,ERS3861802,skin,8.444867648013119
3498087377,414211193,19.18,12.99,bus,ERX2756740,placenta,8.445178295797525
3486603697,419305465,18.85,13.42,bus,CRX102294,blood,8.315187823750401
3475484785,403565817,18.94,13.29,bus,ERX2756741,placenta,8.611940453321397
3467573105,467639273,21.41,13.64,bus,GSM3178783,liver,7.415059652186227
3459930545,411738913,18.45,13.61,bus,GSM3377672,kidney,8.403214842605854
3437914577,419472817,19.32,12.58,bus,GSM3309836,blood,8.195798244061187
3411980433,401612857,18.42,11.43,bus,GSM3396168,bone_marrow,8.495695228701306
3392497905,404398721,20.01,13.69,bus,GSM3396161,bone_marrow,8.388992666967411
3379639793,404719729,18.14,12.13,bus,ERS3861797,liver,8.350568432506536
3365106225,408921597,17.92,12.01,bus,CRX102287,blood,8.229221077310818
3363411153,395323277,21.05,15.83,bus,GSM4080087,lung,8.508001801776018
3363411153,395323309,18.38,12.98,bus,GSM3439987,lung,8.508001113083873
3324083729,400609905,18.8,12.58,bus,GSM3587011,colon,8.29755751795503
3274637489,409529561,19.03,13.14,bus,CRX118014,blood,7.996095522393803
3255944017,417122045,21.43,15.37,bus,ERX2756714,decidua,7.805734690910427
3250575249,404916817,18.86,14.57,bus,GSM3723358,bladder,8.027760548656095
3226172081,390981545,18.28,13.62,bus,CRX118013,blood,8.251468956162624
3225817649,383118097,17.78,12.17,bus,ERS3861829,kidney,8.419904134677303
3212847313,376663801,13.71,11.47,bus,ERS3861799,liver,8.52974802587945
3208597105,407420077,18.81,11.87,bus,GSM3755693,peritoneal,7.8754025295616445
3175181745,376392829,13.64,10.3,bus,ERS3861786,liver,8.435818911417146
